week,year,projected_net_revenue
1,0.0,177857.45631533052
2,0.0,196645.02773273963
3,0.0,173193.045052545
4,0.0,149079.59630811887
5,0.0,164924.3716072406
6,0.0,192067.0845304464
7,0.0,184259.32322809455
8,0.0,156384.28848993493
9,0.0,156359.96279891755
10,0.0,182839.54734914692
11,0.0,189933.09782808283
12,0.0,166667.0176438692
13,0.0,153714.539841231
14,0.0,172362.8184796595
15,0.0,189649.2648275327
16,0.0,176545.9253857093
17,0.0,156622.04308542507
18,0.0,163752.50206538933
19,0.0,184587.55582242322
20,0.0,183375.65724576288
21,0.0,163255.1761152381
22,0.0,159034.22517222376
23,0.0,177025.08895108607
24,0.0,185839.54282504873
25,0.0,171098.71456218744
