week,year,projected_net_revenue
1,2016.0,252955.38927192986
2,2016.0,253614.96987946332
3,2016.0,254274.55048699677
4,2016.0,254934.13109453022
5,2016.0,255593.71170206368
6,2016.0,256253.29230958223
7,2016.0,256912.8729171157
8,2016.0,257572.45352464914
9,2016.0,258232.0341321826
10,2016.0,258891.61473971605
11,2016.0,259551.1953472495
12,2016.0,260210.77595478296
13,2016.0,260870.35656231642
14,2016.0,261529.93716984987
15,2016.0,262189.5177773833
16,2016.0,262849.0983849019
17,2016.0,263508.67899243534
18,2016.0,264168.2595999688
19,2016.0,264827.84020750225
20,2016.0,265487.4208150357
21,2016.0,266147.00142256916
22,2016.0,266806.5820301026
23,2016.0,267466.16263763607
24,2016.0,268125.7432451695
25,2016.0,268785.323852703
