week,year,projected_net_revenue
1,2016.0,8390.596973881291
2,2016.0,8393.340576824186
3,2016.0,8396.084179767078
4,2016.0,8398.827782709972
5,2016.0,8401.571385652866
6,2016.0,8404.31498859576
7,2016.0,8407.058591538653
8,2016.0,8409.802194481546
9,2016.0,8412.54579742444
10,2016.0,8415.289400367334
11,2016.0,8418.033003310227
12,2016.0,8420.77660625312
13,2016.0,8423.520209196015
14,2016.0,8426.263812138908
15,2016.0,8429.007415081802
16,2016.0,8431.751018024694
17,2016.0,8434.494620967587
18,2016.0,8437.23822391048
19,2016.0,8439.981826853375
20,2016.0,8442.725429796268
21,2016.0,8445.46903273916
22,2016.0,8448.212635682054
23,2016.0,8450.956238624949
24,2016.0,8453.69984156784
25,2016.0,8456.443444510734
