week,year,projected_net_revenue
1,2016.0,194016.16
2,2016.0,193684.8
3,2016.0,188739.12
4,2016.0,200804.41
5,2016.0,208057.1
6,2016.0,217093.08
7,2016.0,207841.53
8,2016.0,196642.98
9,2016.0,205447.36
10,2016.0,219321.08
11,2016.0,213102.7
12,2016.0,211528.92
13,2016.0,205908.34
14,2016.0,206453.28
15,2016.0,185686.63
16,2016.0,183186.78
17,2016.0,193927.71
18,2016.0,202605.97
19,2016.0,209333.62
20,2016.0,202780.98
21,2016.0,185765.22
22,2016.0,194526.63
23,2016.0,198029.98
24,2016.0,192064.7
25,2016.0,195743.17
