year,week,net_revenue,unique_clients_week,gross_revenue,boxes,active_clients
2013,2,2310,91,4047,100,91.0
2013,3,12342,410,20296,526,498.4338
2013,4,25807,469,35253,929,953.37796684
2013,5,35713,438,44641,1177,1364.492708175112
2013,6,41898,488,52335,1361,1814.0140138045738
2013,7,44234,444,52723,1363,2206.8588186152847
2013,8,49658,482,59484,1535,2626.6253999303335
2013,9,54130,480,64267,1659,3032.5545636522984
2013,10,59368,356,66391,1707,3303.0365249573033
2013,11,57970,469,67979,1751,3678.8908949535075
2013,12,63673,432,73032,1877,4007.146171715819
2013,13,65516,480,75622,1961,4374.1446496734325
2013,14,62242,402,71357,1849,4652.793770552641
2013,15,70115,430,79629,2062,4951.584986223056
2013,16,75005,467,86824,2218,5278.950289611566
2013,17,77108,466,87391,2246,5596.083891444519
2013,18,75599,390,84488,2173,5828.274325705785
2013,19,89753,549,101804,2612,6212.916989720883
2013,20,81389,552,93102,2381,6589.712730610753
2013,21,87671,443,97800,2500,6846.8828316075305
2013,22,83600,504,95313,2416,7157.800735756196
2013,23,91485,555,103659,2651,7510.950755007874
2013,24,100459,655,115209,2956,7954.14194371665
2013,25,101604,576,115004,2932,8305.83514090384
2013,26,101093,672,115978,2956,8743.610589930351
2013,27,112112,735,129101,3300,9232.040771294316
2013,28,104760,632,118848,3033,9603.69722154382
2013,29,99435,593,114081,2919,9925.872959896282
2013,30,96953,787,116752,2975,10432.963342427203
2013,31,100158,844,120195,3091,10982.753776170763
2013,32,108571,820,128045,3320,11493.04011968274
2013,33,107922,805,127501,3255,11973.936388307688
2013,34,106660,812,125250,3205,12448.271382157416
2013,35,111579,868,131604,3367,12965.230129180572
2013,36,130741,876,151015,3838,13475.610639537685
2013,37,131027,988,152772,3882,14083.598419502723
2013,38,134478,993,157164,3995,14679.440944072741
2013,39,134561,1070,159414,4043,15335.480709449888
2013,40,145789,1028,170510,4292,15931.020153443405
2013,41,152653,929,174261,4383,16410.765385116305
2013,42,147146,982,169236,4285,16929.981801256017
2013,43,150206,1030,173836,4387,17482.55631446061
2013,44,152668,954,175289,4421,17943.548226392813
2013,45,164988,983,189047,4765,18420.540166408533
2013,46,170725,1080,198475,5005,18981.080933715813
2013,47,181740,1119,212142,5376,19564.81445138503
2013,48,178240,1065,204833,5190,20078.086683855967
2013,49,182527,1032,208319,5266,20543.88463937123
2013,50,176678,1056,203635,5142,21020.547092540975
2013,51,181462,995,208538,5280,21422.767664531297
2013,52,96431,506,109996,2805,21324.64561639153
2013,53,125876,569,140841,3571,21292.29061000928
2014,1,198015,1023,222852,5653,21714.84801480703
2014,2,216515,1706,259773,6623,22808.489300789464
2014,3,222933,1630,262965,6715,23795.289902507197
2014,4,222056,1409,257873,6576,24533.262727256493
2014,5,217735,1273,251457,6410,25114.42471834787
2014,6,230726,1378,264607,6742,25784.19794129046
2014,7,220863,1222,252618,6415,26279.083559346076
2014,8,208488,1090,237258,6013,26628.013402972505
2014,9,226359,1159,256395,6510,27036.10342500869
2014,10,235228,1271,270170,6850,27544.685308423435
2014,11,230762,1177,272083,6925,27944.925182725892
2014,12,201476,963,234285,5931,28119.87829257303
2014,13,203076,1084,232810,5910,28410.897724722454
2014,14,231120,1066,262170,6647,28675.71040888528
2014,15,240049,1181,273782,6955,29048.055375354725
2014,16,231014,1121,266113,6759,29349.90021376971
2014,17,226381,1129,260710,6585,29651.233027741415
2014,18,207354,985,237727,6001,29800.0682563591
2014,19,231428,796,261274,6611,29755.70633152978
2014,20,197835,867,223604,5696,29783.595412980638
2014,21,186980,703,209389,5332,29646.69802233458
2014,22,201924,735,225030,5714,29545.66113810474
2014,23,215724,809,239740,6066,29521.47349401019
2014,24,201287,793,226667,5738,29481.96794147911
2014,25,194829,901,221559,5642,29551.576445529405
2014,26,192086,886,218663,5560,29604.22198976548
2014,27,196709,757,220272,5621,29526.382929654083
2014,28,189144,679,210801,5395,29372.738931037828
2014,29,170156,855,196325,5060,29399.427693182563
2014,30,163467,729,186198,4775,29299.363832234823
2014,31,169766,687,190588,4878,29160.1217721658
2014,32,170872,750,197622,5056,29087.80633819071
2014,33,163821,771,188941,4852,29038.53019945376
2014,34,168223,616,188897,4801,28835.643647829136
2014,35,172959,641,193678,4918,28663.478496960364
2014,36,177858,634,196711,4972,28489.168403346106
2014,37,185235,563,204535,5148,28248.773854371717
2014,38,182024,622,201423,5065,28074.158431678447
2014,39,171979,562,189369,4757,27844.467163905112
2014,40,186630,636,205996,5201,27695.253189882995
2014,41,183516,618,203288,5150,27532.247049928297
2014,42,171050,650,192092,4875,27405.837683120328
2014,43,168858,639,188469,4765,27271.993060456305
2014,44,179234,601,197243,4970,27103.92285615143
2014,45,186956,655,206001,5174,26994.59223160798
2014,46,191633,660,213398,5364,26893.344730676625
2014,47,174398,612,196726,4949,26746.95240927154
2014,48,177092,659,199830,5032,26651.688351330093
2014,49,196323,542,216492,5465,26442.110739822587
2014,50,194834,584,214230,5394,26280.443216959597
2014,51,152864,376,167184,4057,25915.334718241334
2014,52,123616,370,137342,3374,25554.522279186924
2015,1,194073,627,215224,5418,25460.884750913854
2015,2,193201,730,216782,5456,25472.887800938086
2015,3,183041,763,208145,5229,25517.55236495163
2015,4,205841,714,230595,5775,25511.95738826
2015,5,207919,751,231722,5804,25543.520189911065
2015,6,220871,784,248012,6193,25607.19292055555
2015,7,201821,827,230595,5760,25712.0700801959
2015,8,191870,714,215821,5354,25700.98970393437
2015,9,206988,773,231386,5781,25749.22179428341
2015,10,224142,762,250175,6237,25785.093739684628
2015,11,209760,807,236496,5882,25864.954096225527
2015,12,212888,808,239193,5949,25943.562390711955
2015,13,203349,726,229308,5719,25937.95393129389
2015,14,210214,687,235632,5897,25893.503630431394
2015,15,174607,582,197326,4941,25745.306828053246
2015,16,182827,678,209131,5245,25697.289175502123
2015,17,195807,607,221506,5510,25579.62562075298
2015,18,206157,666,234479,5793,25524.280178247736
2015,19,212097,658,235754,5826,25462.49547722118
2015,20,206203,720,232103,5690,25464.453104763503
